"package","installed","version"
"BiocManager",TRUE,"1.30.27"
"Seurat",FALSE,NA
"SeuratObject",FALSE,NA
"patchwork",TRUE,"1.3.2"
"ggplot2",TRUE,"4.0.2"
"dplyr",TRUE,"1.2.0"
"remotes",TRUE,"2.5.0"
"Signac",FALSE,NA
"SingleCellExperiment",FALSE,NA
"scater",FALSE,NA
"scran",FALSE,NA
"scuttle",FALSE,NA
"SingleR",FALSE,NA
"celldex",FALSE,NA
"glmGamPoi",FALSE,NA
