"package","installed","version"
"BiocManager",TRUE,"1.30.27"
"tidyverse",FALSE,NA
"pheatmap",FALSE,NA
"ggrepel",TRUE,"0.9.8"
"RColorBrewer",TRUE,"1.1.3"
"openxlsx",FALSE,NA
"DESeq2",TRUE,"1.42.1"
"edgeR",TRUE,"4.0.16"
"limma",TRUE,"3.58.1"
"tximport",FALSE,NA
"clusterProfiler",TRUE,"4.10.1"
"org.Hs.eg.db",TRUE,"3.18.0"
"AnnotationDbi",TRUE,"1.64.1"
"EnhancedVolcano",TRUE,"1.20.0"
